timestamp,vm_id,environment,cpu_usage_percent,expected_cpu_percent,memory_usage_percent,disk_io_read_mb,disk_io_write_mb,network_in_mb,network_out_mb,sla_latency_ms,hourly_cost_usd,is_off_hours,is_weekend
01-01-2024 00:00,vm_0,qa,65.54,65.93,83.09,328.88,227.35,194.06,216.53,554.71,2.168,TRUE,FALSE
01-01-2024 01:00,vm_1,prod,76.7,46.9,52.03,44.62,337.3,121.32,135.24,384.71,0.114,TRUE,FALSE
01-01-2024 02:00,vm_2,staging,27.54,74.9,67.99,124.95,255.39,142.1,221.12,63.45,2.282,TRUE,FALSE
01-01-2024 03:00,vm_3,qa,61.24,64.52,44.88,387.97,42.07,215.3,21.51,736.44,0.799,TRUE,FALSE
01-01-2024 04:00,vm_4,dev,56.46,46.29,60.4,266.7,87.58,263.02,54.45,784.66,1.295,TRUE,FALSE
01-01-2024 05:00,vm_5,dev,79.95,78.49,37.25,464.34,102.6,82.39,154.88,356.21,0.374,TRUE,FALSE
01-01-2024 06:00,vm_6,dev,86.55,60.73,34.09,217.23,119.75,103.28,265.24,498.66,2.261,TRUE,FALSE
01-01-2024 07:00,vm_7,prod,6.09,42.92,56.26,435.56,256.6,279.29,21.86,371.23,1.887,TRUE,FALSE
01-01-2024 08:00,vm_8,staging,65.66,65.07,49.85,227.23,229.26,173.98,13.02,271.07,2.314,TRUE,FALSE
01-01-2024 09:00,vm_9,staging,9.67,50.13,56.36,489.73,95.41,54.51,44.68,80.31,1.724,FALSE,FALSE
01-01-2024 10:00,vm_10,dev,54.4,72.15,32.93,480.12,35.06,199.44,179.88,375.73,0.502,FALSE,FALSE
01-01-2024 11:00,vm_11,prod,30.89,72.71,39.36,167.92,81.29,297.24,112.32,658.34,0.805,FALSE,FALSE
01-01-2024 12:00,vm_12,prod,32.61,79.16,16.71,443.53,443.05,247.21,231.33,33.28,1.243,FALSE,FALSE
01-01-2024 13:00,vm_13,dev,36.77,60.07,14.18,424.57,213.5,223.98,21.07,474.04,1.538,FALSE,FALSE
01-01-2024 14:00,vm_14,dev,60.92,58.2,30.28,109.29,390.97,63.21,55.8,707,2.32,FALSE,FALSE
01-01-2024 15:00,vm_15,dev,35.06,70.14,15.94,314.02,382.69,262.97,84.71,189.69,0.991,FALSE,FALSE
01-01-2024 16:00,vm_16,dev,70.94,45.3,18.3,40.98,232.63,158.21,175.86,162.94,1.773,FALSE,FALSE
01-01-2024 17:00,vm_17,qa,41.41,61.88,75.03,419.17,319.48,266.9,192.16,622.38,2.404,FALSE,FALSE
01-01-2024 18:00,vm_18,qa,11.15,61.85,13.11,91.4,90.77,99.62,35.65,218.97,0.423,FALSE,FALSE
01-01-2024 19:00,vm_19,dev,75.54,43.58,62.72,40.05,311.34,19.55,264.32,169.75,2.164,TRUE,FALSE
01-01-2024 20:00,vm_20,staging,30.72,56.72,31.8,203.11,126.21,143.32,96.15,314.83,1.081,TRUE,FALSE
01-01-2024 21:00,vm_21,dev,43.95,74.13,79.72,290.58,375.27,81.68,199.97,326.15,1.844,TRUE,FALSE
01-01-2024 22:00,vm_22,dev,66.69,74.25,48.8,428.18,42.26,214.85,147.25,701.8,0.769,TRUE,FALSE
01-01-2024 23:00,vm_23,qa,34.92,43.97,34.45,487.25,349.05,287.17,63.15,502.39,0.868,TRUE,FALSE
02-01-2024 00:00,vm_24,qa,10.09,43.63,51.41,222.55,49.47,207.6,237.1,336.65,0.116,TRUE,FALSE
02-01-2024 01:00,vm_25,staging,38.65,50.51,40.56,34.92,397.13,266.19,229.29,436.82,2.43,TRUE,FALSE
02-01-2024 02:00,vm_26,dev,90,74.99,55.14,375.81,140.37,136.45,111.5,764.09,2.043,TRUE,FALSE
02-01-2024 03:00,vm_27,qa,62.76,45.16,19.16,284.76,296.21,231.72,165.22,108.31,0.28,TRUE,FALSE
02-01-2024 04:00,vm_28,qa,65.43,68.8,89.76,226.71,221.94,253.07,72.93,182.02,2.499,TRUE,FALSE
02-01-2024 05:00,vm_29,dev,61.91,44.05,44.04,158.09,168,213.55,193.47,770.77,1.532,TRUE,FALSE
02-01-2024 06:00,vm_30,staging,22.91,64.93,37.86,253.69,292.22,152.83,87.22,766.71,2.142,TRUE,FALSE
02-01-2024 07:00,vm_31,dev,42.65,54.24,66.82,172.65,426.65,188.13,236.5,158.19,0.213,TRUE,FALSE
02-01-2024 08:00,vm_32,dev,72.58,71.56,39.11,379.72,23.37,210.45,61.65,133.18,1.004,TRUE,FALSE
02-01-2024 09:00,vm_33,prod,14.12,49.35,76.66,274.23,413.89,76.67,5.13,348.45,1.691,FALSE,FALSE
02-01-2024 10:00,vm_34,prod,30.01,65.57,46.34,439.04,276.04,243.06,75.91,58.78,0.311,FALSE,FALSE
02-01-2024 11:00,vm_35,prod,29.87,49.43,67.56,274.05,364.25,285.15,54.3,530.82,1.248,FALSE,FALSE
02-01-2024 12:00,vm_36,dev,43.88,68.55,18.6,122.94,175.82,140.11,142.81,80.45,1.135,FALSE,FALSE
02-01-2024 13:00,vm_37,dev,93.23,74.95,77.69,426.29,214.97,210.62,57.83,65.26,0.579,FALSE,FALSE
02-01-2024 14:00,vm_38,staging,11.08,45.07,68.86,280.82,391.64,221.37,213.93,398.45,0.786,FALSE,FALSE
02-01-2024 15:00,vm_39,qa,51.68,74.66,26.94,107.39,189.61,199.01,68.34,767.07,2.419,FALSE,FALSE
02-01-2024 16:00,vm_40,dev,21.14,63.74,21.62,313.64,242.92,164.59,198.24,352.9,0.757,FALSE,FALSE
02-01-2024 17:00,vm_41,qa,92.36,45.08,35.3,182.07,13.99,264.61,162.39,298.06,0.573,FALSE,FALSE
02-01-2024 18:00,vm_42,dev,15.2,57.1,88.09,422.98,75.58,135.23,276.16,798.41,1.364,FALSE,FALSE
02-01-2024 19:00,vm_43,prod,41.32,46.43,30.55,229.38,290.55,19.27,279.97,434.94,1.694,TRUE,FALSE
